date,term,value
2021-01-17,United Nations,38
2021-01-24,United Nations,40
2021-01-31,United Nations,41
2021-02-07,United Nations,39
2021-02-14,United Nations,41
2021-02-21,United Nations,43
2021-02-28,United Nations,46
2021-03-07,United Nations,44
2021-03-14,United Nations,43
2021-03-21,United Nations,41
2021-03-28,United Nations,35
2021-04-04,United Nations,39
2021-04-11,United Nations,39
2021-04-18,United Nations,42
2021-04-25,United Nations,43
2021-05-02,United Nations,41
2021-05-09,United Nations,46
2021-05-16,United Nations,49
2021-05-23,United Nations,39
2021-05-30,United Nations,39
2021-06-06,United Nations,39
2021-06-13,United Nations,37
2021-06-20,United Nations,34
2021-06-27,United Nations,33
2021-07-04,United Nations,31
2021-07-11,United Nations,36
2021-07-18,United Nations,33
2021-07-25,United Nations,31
2021-08-01,United Nations,31
2021-08-08,United Nations,33
2021-08-15,United Nations,38
2021-08-22,United Nations,35
2021-08-29,United Nations,34
2021-09-05,United Nations,35
2021-09-12,United Nations,41
2021-09-19,United Nations,67
2021-09-26,United Nations,44
2021-10-03,United Nations,44
2021-10-10,United Nations,45
2021-10-17,United Nations,49
2021-10-24,United Nations,52
2021-10-31,United Nations,44
2021-11-07,United Nations,41
2021-11-14,United Nations,41
2021-11-21,United Nations,35
2021-11-28,United Nations,41
2021-12-05,United Nations,47
2021-12-12,United Nations,49
2021-12-19,United Nations,31
2021-12-26,United Nations,27
2022-01-02,United Nations,35
2022-01-09,United Nations,38
2022-01-16,United Nations,40
2022-01-23,United Nations,43
2022-01-30,United Nations,42
2022-02-06,United Nations,43
2022-02-13,United Nations,42
2022-02-20,United Nations,85
2022-02-27,United Nations,97
2022-03-06,United Nations,57
2022-03-13,United Nations,50
2022-03-20,United Nations,47
2022-03-27,United Nations,42
2017-05-28,World Bank,44
2017-06-04,World Bank,45
2017-06-11,World Bank,46
2017-06-18,World Bank,41
2017-06-25,World Bank,39
2017-07-02,World Bank,44
2017-07-09,World Bank,43
2017-07-16,World Bank,43
2017-07-23,World Bank,43
2017-07-30,World Bank,42
2017-08-06,World Bank,41
2017-08-13,World Bank,37
2017-08-20,World Bank,39
2017-08-27,World Bank,41
2017-09-03,World Bank,40
2017-09-10,World Bank,46
2017-09-17,World Bank,45
2017-09-24,World Bank,45
2017-10-01,World Bank,46
2017-10-08,World Bank,52
2017-10-15,World Bank,48
2017-10-22,World Bank,49
2017-10-29,World Bank,62
2017-11-05,World Bank,50
2017-11-12,World Bank,50
2017-11-19,World Bank,46
2017-11-26,World Bank,48
2017-12-03,World Bank,48
2017-12-10,World Bank,49
2017-12-17,World Bank,38
2017-12-24,World Bank,34
2017-12-31,World Bank,38
2018-01-07,World Bank,48
2018-01-14,World Bank,47
2018-01-21,World Bank,45
2018-01-28,World Bank,50
2018-02-04,World Bank,44
2018-02-11,World Bank,47
2018-02-18,World Bank,46
2018-02-25,World Bank,49
2018-03-04,World Bank,46
2018-03-11,World Bank,47
2018-03-18,World Bank,50
2018-03-25,World Bank,47
2018-04-01,World Bank,48
2018-04-08,World Bank,49
2018-04-15,World Bank,51
2018-04-22,World Bank,50
2018-04-29,World Bank,46
2018-05-06,World Bank,50
2018-05-13,World Bank,46
2018-05-20,World Bank,48
2018-05-27,World Bank,51
2018-06-03,World Bank,61
2018-06-10,World Bank,66
2018-06-17,World Bank,72
2018-06-24,World Bank,69
2018-07-01,World Bank,67
2018-07-08,World Bank,65
2018-07-15,World Bank,46
2018-07-22,World Bank,44
2018-07-29,World Bank,45
2018-08-05,World Bank,39
2018-08-12,World Bank,40
2018-08-19,World Bank,39
2018-08-26,World Bank,44
2018-09-02,World Bank,44
2018-09-09,World Bank,46
2018-09-16,World Bank,45
2018-09-23,World Bank,46
2018-09-30,World Bank,48
2018-10-07,World Bank,51
2018-10-14,World Bank,47
2018-10-21,World Bank,47
2018-10-28,World Bank,48
2018-11-04,World Bank,41
2018-11-11,World Bank,46
2018-11-18,World Bank,43
2018-11-25,World Bank,46
2018-12-02,World Bank,46
2018-12-09,World Bank,43
2018-12-16,World Bank,44
2018-12-23,World Bank,33
2018-12-30,World Bank,33
2019-01-06,World Bank,55
2019-01-13,World Bank,53
2019-01-20,World Bank,45
2019-01-27,World Bank,49
2019-02-03,World Bank,50
2019-02-10,World Bank,45
2019-02-17,World Bank,46
2019-02-24,World Bank,45
2019-03-03,World Bank,44
2019-03-10,World Bank,46
2019-03-17,World Bank,47
2019-03-24,World Bank,47
2019-03-31,World Bank,47
2019-04-07,World Bank,53
2019-04-14,World Bank,48
2019-04-21,World Bank,46
2019-04-28,World Bank,46
2019-05-05,World Bank,48
2019-05-12,World Bank,47
2019-05-19,World Bank,47
2019-05-26,World Bank,49
2019-06-02,World Bank,53
2019-06-09,World Bank,55
2019-06-16,World Bank,58
2019-06-23,World Bank,61
2019-06-30,World Bank,66
2019-07-07,World Bank,60
2019-07-14,World Bank,52
2019-07-21,World Bank,45
2019-07-28,World Bank,42
2019-08-04,World Bank,42
2019-08-11,World Bank,39
2019-08-18,World Bank,41
2019-08-25,World Bank,46
2019-09-01,World Bank,52
2019-09-08,World Bank,46
2019-09-15,World Bank,49
2019-09-22,World Bank,48
2019-09-29,World Bank,49
2019-10-06,World Bank,50
2019-10-13,World Bank,51
2019-10-20,World Bank,49
2019-10-27,World Bank,48
2019-11-03,World Bank,46
2019-11-10,World Bank,43
2019-11-17,World Bank,46
2019-11-24,World Bank,42
2019-12-01,World Bank,48
2019-12-08,World Bank,46
2019-12-15,World Bank,44
2019-12-22,World Bank,33
2019-12-29,World Bank,34
2020-01-05,World Bank,45
2020-01-12,World Bank,42
2020-01-19,World Bank,41
2020-01-26,World Bank,43
2020-02-02,World Bank,45
2020-02-09,World Bank,45
2020-02-16,World Bank,45
2020-02-23,World Bank,48
2020-03-01,World Bank,50
2020-03-08,World Bank,49
2020-03-15,World Bank,46
2020-03-22,World Bank,46
2020-03-29,World Bank,55
2020-04-05,World Bank,53
2020-04-12,World Bank,53
2020-04-19,World Bank,48
2020-04-26,World Bank,46
2020-05-03,World Bank,49
2020-05-10,World Bank,48
2020-05-17,World Bank,46
2020-05-24,World Bank,41
2020-05-31,World Bank,44
2020-06-07,World Bank,46
2020-06-14,World Bank,41
2020-06-21,World Bank,45
2020-06-28,World Bank,44
2020-07-05,World Bank,39
2020-07-12,World Bank,40
2020-07-19,World Bank,41
2020-07-26,World Bank,37
2020-08-02,World Bank,38
2020-08-09,World Bank,38
2020-08-16,World Bank,39
2020-08-23,World Bank,39
2020-08-30,World Bank,40
2020-09-06,World Bank,45
2020-09-13,World Bank,42
2020-09-20,World Bank,43
2020-09-27,World Bank,40
2020-10-04,World Bank,44
2020-10-11,World Bank,43
2020-10-18,World Bank,41
2020-10-25,World Bank,39
2020-11-01,World Bank,35
2020-11-08,World Bank,35
2020-11-15,World Bank,36
